Date;Maupertuis;BU;Pelvoux;Romero;Rostand;IBGBI;Premiers Cycles;Facteur Cheval;Ile-de-France;Brétigny
2015-02-09;10044.100498;2193.574742;1979.474826;0.168;0.168;2763.180075;3885.166919;5508.252055;14745.739726;5687.183562
2015-02-16;11698.355747;2554.792717;2305.429852;0.168;0.168;3218.208742;4525.010354;5508.252055;14745.739726;5687.183562
2015-02-23;13352.610996;2916.010692;2631.384878;0.168;0.168;3673.23741;5164.853789;5508.252055;14745.739726;5687.183562
2015-03-09;16661.121494;3638.446643;3283.294929;0.168;0.168;4583.294745;6444.540659;5508.252055;14745.739726;5687.183562
2015-04-06;23268.295733;5081.168437;4585.174824;0.168;0.168;6400.700911;9000.105806;5508.252055;14745.739726;5687.183562
2015-04-13;24922.550982;5442.386412;4911.12985;0.168;0.168;6855.729578;9639.949241;5508.252055;14745.739726;5687.183562
2015-04-27;28231.06148;6164.822362;5563.039902;0.168;0.168;7765.786913;10919.636111;5508.252055;14745.739726;5687.183562
2015-05-11;31539.571979;6887.258313;6214.949953;0.168;0.168;8675.844248;12199.32298;5508.252055;14745.739726;5687.183562
2015-05-18;33193.827228;7248.476288;6540.904979;0.168;0.168;9130.872916;12839.166415;5508.252055;14745.739726;5687.183562
2015-07-06;44773.613971;9777.002115;8822.59016;0.168;0.168;12316.073588;17318.070459;5508.252055;14745.739726;5687.183562
2015-07-13;46427.86922;10138.22009;9148.545186;0.168;0.168;12771.102256;17957.913894;5508.252055;14745.739726;5687.183562
2015-08-10;53044.890216;11583.091991;10452.365289;0.168;0.168;14591.216926;20517.287634;5508.252055;14745.739726;5687.183562
2015-09-07;59661.911213;13027.963892;11756.185392;0.168;0.168;16411.331596;23076.661373;5508.252055;14745.739726;5687.183562
2015-09-28;64624.67696;14111.617818;12734.05047;0.168;0.168;17776.417598;24996.191678;5508.252055;14745.739726;5687.183562
2015-10-05;66278.932209;14472.835793;13060.005496;0.168;0.168;18231.446266;25636.035113;5508.252055;14745.739726;5687.183562
2015-10-12;67933.187458;14834.053768;13385.960521;0.168;0.168;18686.474933;26275.878548;5508.252055;14745.739726;5687.183562
2015-10-26;71251.544714;15558.639826;14039.810781;0.168;0.168;19599.240772;27559.374009;5508.252055;14745.739726;5687.183562
2015-11-02;72905.799963;15919.857801;14365.765807;0.168;0.168;20054.26944;28199.217444;5508.252055;14745.739726;5687.183562
2015-11-09;74560.055212;16281.075776;14691.720833;0.168;0.168;20509.298107;28839.060879;5508.252055;14745.739726;5687.183562
2015-11-30;79522.820959;17364.729702;15669.585911;0.168;0.168;21874.384109;30758.591184;5508.252055;14745.739726;5687.183562
2015-12-21;84485.586706;18448.383627;16647.450988;0.168;0.168;23239.470112;32678.121488;5508.252055;14745.739726;5687.183562
2016-01-18;38477.750085;7530.144505;6804.022044;0.168;0.168;8507.43153;15359.500569;5689.393443;14719.718579;5562.724044
2016-01-25;39176.435026;7666.875446;6927.567902;0.168;0.168;8661.908361;15638.398815;5689.393443;14719.718579;5562.724044
2016-02-01;46964.252135;12212.303753;10936.560722;0.168;0.168;11224.497202;21412.061375;5689.393443;14719.718579;5562.724044
2016-02-15;51432.251469;14366.054369;10222.437582;0.168;0.168;12039.768262;23306.160464;5689.393443;14719.718579;5562.724044
2016-06-20;38682.721423;9866.302748;7468.301141;0.168;0.168;16589.60786;15626.856524;5689.393443;14719.718579;5562.724044
2016-07-11;36813.39312;8017.917278;6153.187088;0.168;0.168;13247.571133;12602.281151;5689.393443;14719.718579;5562.724044
2016-08-01;32588.817124;5152.801778;4251.37663;0.168;0.168;14811.221667;10786.960548;5689.393443;14719.718579;5562.724044
2016-08-22;36050.33047;23489.785761;7482.464576;0.168;0.168;15393.053048;12295.238017;5689.393443;14719.718579;5562.724044
2016-09-12;37770.27659;10199.122285;8101.137325;0.168;0.168;16748.870141;15719.265871;5689.393443;14719.718579;5562.724044
2016-10-17;49245.614215;10711.421337;9984.613521;0.168;0.168;12978.21422;18768.94869;5689.393443;14719.718579;5562.724044
2016-11-07;51862.10981;10972.379131;9446.750555;0.168;0.168;12686.872467;17516.802034;5689.393443;14719.718579;5562.724044
2016-12-26;37597.90187;7484.807941;6405.409536;1.380091;0.319485;10072.516741;13196.562954;4878.930412;12622.69884;4770.430322
2017-01-23;56663.583333;15028.416667;11246.833333;432.884455;54.248091;13665.5;21365.049422;804.257543;2043.704803;827.141867
2017-04-03;38684.333333;10838.916667;7462.833333;1620.026492;202.614876;11915.0;16394.682288;3009.638908;7649.114579;3095.11793
2017-06-05;36031.0;12583.416667;6841.25;2689.090674;336.224513;15357.583333;11809.084703;4995.664295;12696.988064;5137.512097
2017-06-26;36318.333333;14433.25;6827.666667;3045.445402;380.761058;16695.833333;12366.620552;5657.672758;14379.612559;5818.310153
2017-07-10;35620.916667;10801.5;5976.666667;3283.01522;410.452088;15901.0;8856.415856;6099.011733;15501.362222;6272.175524
2017-09-18;42946.666667;10102.333333;8272.333333;4470.864311;558.90724;16433.0;0.0;8305.706607;21110.110539;8541.502377
2017-10-02;38934.5;9333.916667;8207.083333;4708.434129;588.59827;15693.25;0.0;8747.045582;22231.860202;8995.367747
2017-10-30;38819.5;9046.0;6731.0;5184.280818;648.068697;15253.583333;13966.586716;9631.037041;24478.698069;9904.449278
2017-11-20;56136.833333;13357.0;10540.333333;5540.635545;692.605242;14942.833333;19066.241367;10293.045503;26161.322564;10585.247334
2017-12-11;58115.25;14180.5;11086.0;5896.990273;737.141788;13151.583333;23118.516897;10955.053965;27843.947059;11266.04539
2017-12-18;51387.333333;13009.583333;10386.583333;6015.775182;751.987303;15102.25;21208.278365;11175.723453;28404.821891;11492.978075
2018-01-08;55033.833333;13587.166667;9909.333333;6372.129909;796.523848;0.0;19790.797931;5227.196815;10623.613737;4624.34183
2018-03-19;51509.166667;13976.166667;8726.916667;9955.75;1011.75;13092.024527;21575.747611;7161.406511;13943.758807;7299.897776
2018-03-26;44464.916667;12923.5;9388.0;10277.666667;915.583333;14300.865737;20819.672473;7049.125009;18904.924295;7570.657935
2018-04-02;42339.333333;12990.25;8166.333333;9398.5;874.083333;16349.049013;18827.927292;6314.082784;17381.98982;6753.366581
2018-04-16;37754.416667;15666.25;6005.5;7832.916667;861.166667;17465.406273;13406.070487;5005.499124;16580.020453;5264.617679
2018-05-07;35947.083333;11844.0;5538.75;5846.166667;860.0;16649.032365;11413.154134;4636.610809;14096.464375;4377.174043
2018-05-14;37527.333333;13228.416667;7393.916667;8811.083333;874.75;17603.215219;15205.07423;6434.994752;17445.759129;6719.499962
2018-07-02;38974.833333;17457.916667;6042.166667;7997.833333;920.75;15377.312548;9659.658787;4789.822936;14234.888224;4978.220127
2018-07-16;38858.5;17331.083333;5705.0;6052.166667;945.333333;13918.528877;9765.482536;4850.321645;13675.115239;3633.490748
2018-07-23;40486.333333;13047.416667;4894.166667;5248.166667;1010.333333;12668.03059;9558.687035;5449.412675;11860.093742;2871.05986
2018-07-30;38180.333333;6432.166667;3888.583333;5226.25;995.75;14613.075485;7707.649796;5286.11743;11226.301189;2805.40009
2018-08-06;36215.166667;2797.5;4760.5;4851.416667;967.5;14410.37931;7982.8752;5022.845506;11785.257782;2939.138675
2018-08-27;33017.583333;5186.583333;5857.083333;6277.5;889.583333;13410.085478;11709.544288;5933.573248;13559.822505;4227.279699
2018-09-10;36177.416667;11765.25;7534.166667;8706.5;928.75;13782.728553;14552.731464;5252.193719;15137.636685;5777.714227
2018-11-12;46346.333333;14765.25;10887.166667;11165.75;882.666667;15801.917805;20746.223262;7718.712416;17512.703298;7805.996375
2018-12-17;49891.833333;14333.166667;11625.083333;10297.166667;905.583333;13648.325532;19815.476197;7580.026816;17065.592449;8261.295047
2018-12-24;41520.0;10433.25;5500.416667;6626.583333;898.666667;10940.091551;8921.234883;5149.397184;11887.57895;6294.957709
2018-12-31;41516.25;12035.606118;5312.357467;6701.833333;891.333333;10503.657968;12999.82745;4978.337165;10313.91193;5754.17032
2019-01-21;52685.166667;15453.137835;10053.433861;12450.833333;952.083333;12166.675799;21451.080228;7430.438573;15679.295657;8041.106415
2019-02-25;39863.333333;11060.440007;7181.836617;8049.333333;900.666667;9819.51869;15774.538887;5569.438896;13290.670564;5694.407245
2019-03-04;41533.416667;11112.253489;8482.956415;8757.333333;941.416667;10626.998975;20159.459056;6245.300013;14742.808361;7124.101258
2019-04-01;40190.833333;10639.656867;10977.401252;9513.916667;831.333333;11818.263644;19163.277278;5920.886677;14954.204658;6617.247187
2019-04-08;36804.75;9624.926709;9392.361604;8555.75;763.75;10570.728871;17169.551072;5196.878502;13831.746444;5786.305114
2019-04-22;36958.75;9766.629374;8453.745845;6315.25;858.583333;11332.644931;17151.836631;5269.742767;13898.07352;5014.397339
2019-05-06;38322.583333;9753.570002;9642.848707;8306.166667;826.833333;12237.762841;17229.50764;5779.277681;13151.978947;6446.665522
2019-05-27;34138.162644;7510.410872;7129.791231;6629.418391;868.667241;10266.853176;14798.710507;4030.449494;11998.060822;5183.864122
2019-07-15;35051.646552;11252.684138;7876.256049;6119.502299;856.583908;12529.230348;12291.269052;4321.649084;12439.471326;4688.247634
2019-07-29;31613.996552;6889.412297;5320.457427;3994.002299;818.332184;11752.750747;9876.139449;3104.755779;10582.994055;3498.297019
2019-08-12;30187.166667;7824.090201;5234.03443;3829.75;825.25;8760.236109;8664.405352;4864.226097;10174.488465;3384.947734
2019-08-19;31693.666667;6911.290985;5839.787554;3863.5;812.666667;9192.924951;10038.296474;4586.929936;11597.289286;3815.263151
2019-08-26;35343.0;9034.880541;7072.921688;5532.583333;819.583333;8270.078104;11638.728036;5061.019689;12257.413765;4183.970099
2019-09-02;34807.583333;10303.420441;8030.75266;8521.583333;793.0;12396.209864;13659.877558;5251.63398;13712.95295;5112.816438
2019-09-23;31501.833333;11808.301052;8444.956824;8049.583333;841.25;13278.117426;17331.280507;5940.883584;15842.137133;5556.603345
2019-10-14;40804.75;12353.148225;10111.338001;9752.166667;810.666667;13036.164541;19673.078434;6733.550666;17029.221729;6405.049774
2019-11-04;42668.083333;11772.769384;10296.59678;10268.166667;807.666667;14515.117613;20173.596542;7327.707684;17004.391593;6573.657908
2019-11-11;47522.416667;12217.381638;8571.277461;10640.5;775.583333;13655.306987;19677.507044;7026.552552;17040.191207;6904.781975
2020-01-20;54420.083333;13399.666667;8821.25;12764.25;905.0;13481.523883;20741.9875;7338.416667;16066.822812;5841.916667
2020-02-10;49847.083333;13533.25;8369.583333;10184.083333;824.0;13623.91712;16549.334499;6799.416667;16342.04071;6084.666667
2020-02-24;51271.833333;13667.25;8423.916667;11447.75;726.916667;13345.567953;19349.993697;7409.916667;17116.495027;6396.916667
2020-03-02;51430.5;13539.75;8395.416667;11118.25;883.333333;13368.999752;19282.128526;7511.583333;16870.87411;6541.75
2020-04-06;34246.75;5001.666667;3946.25;4216.083333;907.25;7395.006938;9258.543827;5185.833333;12366.775031;4364.75
2020-04-20;31850.416667;4831.916667;3886.416667;3999.333333;846.583333;7366.339463;8941.615163;4220.166667;13043.423236;4367.75
2020-05-11;29585.537931;8474.756897;4186.917816;4598.833908;465.086782;7396.638906;9430.394792;2669.261494;13698.130611;4486.667816
2020-05-25;23342.666667;8145.583333;3958.0;5069.333333;865.416667;7675.673535;9785.383001;3904.333333;13209.778677;3802.166667
2020-06-15;29224.75;7777.416667;4737.0;4672.0;1036.416667;9087.246275;9398.736767;3873.0;13339.30799;3968.583333
2020-06-29;32405.166667;11538.333333;4948.333333;4613.166667;899.083333;8636.548935;9888.864757;3948.0;13703.146731;3268.916667
2020-07-06;32282.916667;11729.0;4912.25;4416.083333;887.083333;8775.337279;10430.607324;4559.75;13553.375805;3222.0
2020-07-13;31384.75;11380.5;4547.916667;3348.25;889.416667;8421.800364;8582.502317;3933.25;12823.742201;3047.083333
2020-08-03;31553.666667;5233.0;3819.416667;2698.166667;896.0;7807.852911;7472.662594;3903.083333;11383.355827;2611.25
2020-08-10;32333.75;5501.5;3924.333333;2732.5;911.5;3349.030568;8159.650099;3973.0;11260.035076;2629.166667
2020-08-24;31132.5;12072.916667;4987.666667;4053.5;827.0;8679.378486;10574.084063;3433.166667;13134.595543;4023.75
2020-09-14;36213.264368;14626.067816;6587.832184;4552.666667;1045.333908;12798.824213;13299.469074;4153.166667;13799.505841;3988.998851
2020-10-12;42067.75;12881.25;9346.0;6537.666667;969.0;10923.595464;17483.448898;6053.833333;17447.930177;5860.083333
2020-10-19;42086.5;10897.75;9233.083333;7433.25;847.833333;10208.281879;17305.113374;5969.416667;16634.438463;5761.0
2020-11-02;37806.916667;9047.081034;5975.667241;5938.334483;930.332759;5614.476158;14709.058346;4801.168391;14631.45373;4586.249425
2020-11-09;38234.5;8201.833333;6243.25;6383.833333;954.0;9343.708597;14086.148756;4723.75;14644.466782;4615.083333
2020-11-23;41543.583333;11580.416667;7295.583333;7691.25;808.25;8114.268737;15871.01959;5037.5;16339.149051;5602.0
2020-11-30;47747.166667;12973.166667;7529.5;8747.666667;967.333333;6606.479712;16412.846357;5102.916667;16383.289375;5832.5
2020-12-07;52819.666667;12944.25;7501.5;9159.666667;1095.75;10461.139309;17074.658073;5106.5;17284.976688;5959.25
2021-01-11;54829.666667;11173.041325;8077.75;8866.5;1203.416667;10809.140045;17722.178801;5732.278693;16386.25;6128.583333
2021-01-25;55409.916667;13330.075429;8013.833333;8587.333333;892.166667;10623.577615;16984.841463;5529.031541;15670.25;5570.833333
2021-02-01;51651.833333;11116.351067;7951.166667;8113.333333;729.166667;10665.72753;15532.571141;5355.832555;15083.5;4638.416667
2021-02-08;56775.5;14536.57459;6358.0;8959.083333;846.666667;10824.389405;17153.793703;5829.175591;15981.0;5234.916667
2021-02-22;45664.5;11982.197723;6406.333333;6965.75;840.666667;9616.263188;14816.802174;4772.003423;13543.083333;3974.916667
2021-03-15;49280.416667;13915.921923;7901.25;8779.5;939.083333;10430.304835;17150.031778;5674.883318;15774.166667;4930.5
2021-04-12;47243.166667;13131.232236;7589.916667;8220.333333;713.916667;9002.604977;13974.883315;5420.149138;14428.666667;5422.333333
2021-04-26;37397.166667;11893.717672;5383.916667;7172.666667;718.416667;8970.392847;11574.524245;4876.327958;13608.416667;4976.75
2021-05-31;37285.5;10679.120044;6587.666667;6834.583333;731.083333;9991.157552;12806.847341;4964.193525;13244.333333;5576.833333
2021-07-05;36638.166667;10026.848896;6225.333333;4458.0;704.0;10631.030954;11865.028469;4577.618792;13559.666667;4369.0
2021-07-26;31976.333333;4101.44238;4303.083333;3016.833333;737.0;9460.942465;9488.160532;3994.464899;12162.333333;2322.416667
2021-10-04;40368.25;11122.037224;8099.5;8939.333333;794.666667;11406.349509;17579.978029;5923.70915;15992.666667;6696.666667
2021-10-18;48265.333333;11369.298906;9112.5;9055.833333;829.583333;11661.990456;18077.722532;6001.446121;16337.75;6855.083333
2021-10-25;47620.583333;11464.671269;8725.666667;8518.25;855.833333;11175.039001;17895.896147;4226.072119;15949.0;6884.083333
2021-11-15;54949.25;11751.219128;9359.583333;10909.833333;864.25;11055.699913;20589.76898;6512.602581;17483.166667;6412.5
2021-12-20;48381.333333;10108.608944;5463.25;7703.083333;1006.0;10080.683286;14620.429678;4980.061658;12896.0;4243.416667
2021-12-27;44623.583333;7307.00285;5091.833333;7073.083333;946.083333;9833.374104;13553.719417;4834.893071;12383.416667;4068.166667
2022-01-17;57092.75;12383.166667;8579.416667;9607.75;1005.916667;10900.25;19603.563268;6502.25;15782.166667;5579.416667
2022-02-21;50700.416667;11663.25;8328.75;8821.75;974.75;11236.166667;17100.533912;6067.25;15687.583333;5094.75
2022-03-14;49235.916667;10886.666667;8423.833333;9524.666667;959.75;8360.0;19418.829209;5571.416667;15370.166667;5481.666667
2022-03-21;45962.583333;10357.416667;8024.0;9108.583333;895.75;8450.333333;17653.062771;5363.416667;14669.5;5217.166667
2022-05-16;39285.416667;13298.5;7522.25;7077.166667;1065.583333;11037.666667;14803.657056;4537.916667;13598.25;4666.666667
2022-06-06;37624.583333;8764.666667;6345.75;6893.75;788.833333;10436.333333;13553.020869;4644.75;13157.083333;4623.166667
2022-06-13;41002.25;14374.166667;6690.666667;7126.0;815.5;11370.5;14636.994808;4301.0;13393.083333;4484.666667
2022-07-04;38453.916667;11813.333333;6314.166667;5457.833333;817.75;11339.666667;11428.662866;3881.25;12855.666667;3882.583333
2022-07-11;39390.25;12470.416667;6366.333333;4863.5;699.5;11035.333333;10624.467319;3324.25;12726.583333;3214.5
2022-07-25;37455.333333;6417.083333;4960.416667;3497.0;946.666667;10867.916667;9705.73331;2921.916667;11865.416667;2599.75
2022-08-01;38090.25;4166.833333;4729.0;3386.75;950.333333;11152.583333;9103.423308;2932.333333;12083.416667;2706.75
2022-08-08;38535.333333;3752.333333;4827.0;3546.916667;957.5;11062.083333;8972.486351;2913.833333;12084.833333;2816.916667
2022-08-29;37049.333333;12766.916667;6678.333333;4988.583333;943.25;11502.083333;13167.154258;3709.583333;12241.916667;4409.333333
2022-09-12;36038.0;12751.0;6554.416667;6999.083333;800.166667;12251.666667;16195.772089;4479.916667;12605.666667;4661.5
2022-10-03;35932.166667;12066.25;6843.166667;7159.5;787.25;13790.583333;17887.41064;5082.0;13189.75;5062.0
2022-11-28;51813.895833;10857.979167;9483.416667;9057.4375;884.083333;15016.0625;19378.188553;5862.666667;14962.145833;6415.958333
2022-12-26;36172.354167;7233.25;8311.6875;4481.916667;778.0;11350.333333;11575.768321;4039.541667;12536.791667;4040.979167
2023-01-09;42300.375;11005.291667;10615.708333;8153.458333;752.75;14588.354167;18963.583333;5890.0;14526.354167;5965.729167
2023-01-30;49978.5625;10940.75;9960.5;9597.9375;786.833333;14764.479167;19053.625;5059.895833;14376.9375;5217.708333
2023-02-13;50023.479167;11155.041667;11589.354167;8756.958333;701.916667;14785.125;17957.770833;4671.708333;13881.895833;5417.166667
2023-02-20;47534.770833;10703.75;9713.083333;8569.333333;681.333333;15200.583333;15586.625;4786.4375;13817.895833;4958.166667
2023-02-27;48554.083333;11350.75;8300.75;7971.25;712.083333;14901.6875;16352.270833;4284.375;13658.958333;4145.479167
2023-03-20;43424.75;11349.833333;9142.208333;7742.875;783.0;13216.791667;16538.666667;4466.416667;13891.25;4992.416667
2023-03-27;42886.208333;10401.25;9026.583333;7529.041667;761.208333;12648.541667;15355.5;4106.458333;14023.291667;4910.625
2023-04-03;44517.458333;11329.291667;9309.958333;7894.791667;678.958333;13857.125;14010.291667;4529.791667;14317.291667;5183.333333
2023-04-17;39620.916667;11094.625;8640.958333;7735.5;622.166667;13908.208333;16105.875;4612.958333;13686.958333;5220.083333
2023-05-22;33127.541667;10185.125;7913.166667;6603.666667;505.833333;12611.791667;13755.625;3418.125;12344.125;4608.333333
2023-05-29;31443.375;10053.791667;7345.5;5965.0;485.666667;12578.875;12675.375;3131.333333;12014.708333;3923.25
2023-06-05;32971.666667;11354.958333;7771.5;6329.583333;492.0;12771.083333;13693.708333;3121.041667;12158.708333;4555.958333
2023-07-17;27851.375;12246.458333;5213.166667;4592.291667;498.125;11380.416667;9941.791667;2335.083333;11676.916667;2929.208333
2023-08-07;22814.791667;3259.791667;3519.0;3464.916667;494.5;10988.791667;9221.666667;2546.083333;10356.25;2394.416667
2023-08-14;19937.25;4099.791667;3593.791667;2947.333333;495.541667;11364.083333;9395.5;2444.625;10827.75;2467.166667
2023-09-11;22307.583333;11952.458333;6905.583333;6312.083333;549.916667;12263.541667;15994.0;3152.208333;12144.0;4600.375
2023-09-18;22634.791667;11386.791667;7210.458333;6547.666667;557.0;11815.833333;16419.75;3414.125;12376.791667;4793.583333
2023-10-02;22823.125;11742.125;7375.5;6618.375;529.958333;11794.125;15598.291667;3673.291667;12372.0;4733.958333
2023-10-16;25159.0;11813.416667;8785.875;7499.333333;663.083333;13116.5;16803.625;4165.333333;12477.916667;5411.291667
2023-11-06;30264.666667;11507.25;9713.0;8508.583333;833.291667;12754.041667;18380.333333;4446.541667;12411.666667;5306.875
2023-12-25;26229.166667;7251.875;4597.125;4973.666667;517.458333;10410.25;12166.833333;3237.375;11280.208333;3166.458333
2024-01-15;44479.708333;13280.416667;9395.625;10758.833333;822.041667;13678.541667;21637.833333;4690.958333;12880.041667;5793.416667
2024-02-05;33801.375;11978.041667;9478.666667;9214.375;980.583333;11564.291667;19590.666667;4421.916667;12577.041667;5003.375
2024-02-12;19956.833333;7724.25;5585.25;5136.416667;584.833333;7017.125;12246.25;2437.75;7515.125;2343.333333
