Date;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2023-08-22;3073.291667;2107.833333;742.041667;534.875;73.416667;1859.125;1469.833333;304.958333;1668.875;457.583333
2024-01-26;5014.541667;1375.333333;1506.958333;1226.791667;133.875;1803.791667;3022.916667;772.166667;1805.125;823.166667
2023-08-26;2738.125;1178.916667;582.625;434.291667;84.416667;1507.5;1268.208333;330.208333;1465.541667;383.291667
2024-01-27;4670.833333;1141.125;830.541667;1103.041667;128.708333;1489.416667;1886.5;478.416667;1591.583333;462.791667
2023-08-29;2964.958333;1680.708333;796.625;530.291667;71.166667;1781.791667;1835.75;375.25;1702.75;530.375
2024-01-28;4587.083333;696.041667;827.666667;1088.166667;130.333333;1416.708333;2003.25;486.0;1584.541667;469.666667
2023-08-31;3114.083333;1432.083333;861.666667;572.791667;68.291667;1731.708333;2134.541667;380.083333;1725.791667;513.583333
2024-01-30;5159.791667;1418.916667;1583.0;1346.25;138.333333;1822.0;3234.333333;695.25;1915.458333;1080.125
2023-09-03;2870.708333;772.25;644.875;472.291667;74.958333;1281.416667;1318.958333;323.0;1575.083333;383.875
2024-01-31;5257.875;1561.25;1451.833333;1314.958333;145.5;1840.25;3234.791667;621.083333;1881.541667;884.208333
2023-09-04;3212.0;1607.583333;960.583333;808.333333;77.625;1929.875;2449.75;432.791667;1777.041667;639.75
2024-02-04;4514.416667;972.625;854.208333;989.791667;132.25;1239.666667;1860.875;474.625;1604.166667;489.083333
2023-09-10;2984.0;1385.791667;680.291667;623.083333;84.541667;1356.166667;1427.333333;313.833333;1574.25;487.125
2024-02-05;5153.5;1943.75;1625.25;1516.625;139.833333;1851.708333;3203.541667;724.0;1939.0;841.833333
2023-09-16;2960.208333;1572.958333;633.0;596.458333;77.833333;1342.833333;1508.166667;310.875;1553.416667;445.875
2024-02-06;5126.708333;1919.083333;1557.25;1505.666667;144.25;1819.916667;3135.916667;726.458333;1902.125;807.791667
2023-09-17;2923.541667;1109.958333;631.875;589.833333;79.25;1313.583333;1502.75;308.541667;1536.958333;441.583333
2024-02-10;4369.416667;1502.083333;868.416667;973.666667;130.791667;1350.416667;1858.958333;408.375;1547.708333;478.875
2023-09-18;3345.958333;1861.166667;1153.666667;1038.166667;84.083333;1866.541667;2612.875;526.0;1806.083333;780.833333
2024-02-12;4984.958333;1956.375;1541.541667;1346.041667;142.416667;1850.833333;3196.625;635.833333;1880.75;832.625
2023-09-22;3384.041667;1733.333333;1150.583333;1049.916667;74.0;1881.666667;2641.833333;508.666667;1813.166667;755.083333
2023-09-24;2904.916667;985.166667;675.791667;667.166667;78.625;1220.666667;1425.208333;377.125;1592.416667;488.833333
2023-09-25;3307.208333;1846.416667;1141.208333;1065.208333;82.25;1835.291667;2609.375;581.666667;1840.583333;820.041667
2023-09-28;3190.5;1860.25;1124.083333;1015.875;76.541667;1791.916667;2671.291667;537.333333;1819.958333;758.333333
2023-10-02;3397.416667;1930.541667;1156.541667;1014.625;75.333333;1850.875;2653.541667;543.458333;1843.333333;774.916667
2023-10-03;3433.583333;1787.666667;1296.541667;1088.583333;76.375;1845.041667;2722.583333;640.958333;1872.458333;814.708333
2023-10-05;3402.958333;1782.166667;1181.958333;1067.708333;72.5;1884.666667;2477.875;582.916667;1843.125;783.708333
2023-10-06;3412.333333;1813.25;1143.75;1047.583333;75.083333;1881.541667;2449.583333;544.541667;1806.958333;764.541667
2023-10-10;3424.5;1934.958333;1220.958333;1060.166667;81.333333;1872.333333;2534.791667;568.333333;1874.208333;851.791667
2023-10-12;3482.583333;1896.083333;1369.083333;1077.958333;79.541667;1892.208333;2675.75;568.291667;1818.625;842.125
2023-10-14;2873.125;1497.916667;689.416667;634.958333;82.208333;1173.958333;1343.083333;412.666667;1570.791667;422.875
2023-10-15;2869.541667;1072.166667;687.458333;654.333333;86.208333;1236.666667;1219.833333;436.416667;1567.041667;417.666667
2023-10-16;3645.0;1827.916667;1266.541667;1168.375;79.208333;2069.791667;2749.791667;678.958333;1864.458333;846.416667
2023-10-17;3934.916667;1869.625;1435.708333;1342.166667;81.25;2070.458333;2818.583333;701.916667;1866.666667;958.625
2023-10-22;2933.125;1070.916667;823.958333;730.458333;115.5;1391.75;1482.791667;432.333333;1593.166667;458.25
2023-10-28;3514.0;1587.666667;807.458333;778.333333;107.0;1372.25;1602.875;429.0;1513.541667;537.916667
2023-11-01;3710.291667;1136.583333;848.375;820.041667;130.916667;1810.5;2001.416667;445.958333;1539.75;584.416667
2023-11-03;4278.166667;1910.791667;1050.166667;927.875;127.708333;1898.166667;2313.541667;555.416667;1618.166667;663.541667
2023-11-04;3816.416667;1593.416667;904.25;860.958333;120.791667;1413.833333;1602.666667;457.375;1516.833333;486.958333
2023-11-07;4517.083333;1952.708333;1708.583333;1355.833333;155.375;1972.75;2981.541667;739.625;1837.833333;893.083333
2023-11-09;4541.708333;1811.875;1602.291667;1313.583333;119.666667;1969.583333;2958.125;716.958333;1911.375;901.541667
2023-11-10;4570.75;1809.791667;1518.75;1348.208333;116.25;2018.041667;2907.75;651.666667;1809.875;850.875
2023-11-14;4640.75;1774.833333;1855.708333;1458.5;121.583333;1984.583333;2913.375;821.208333;1873.041667;924.333333
2023-11-16;4840.541667;1809.0;1847.541667;1397.916667;124.958333;2066.5;3005.416667;752.0;1905.208333;1006.083333
2023-11-19;3719.375;874.791667;786.208333;830.5;102.166667;1294.958333;1623.75;432.875;1598.791667;483.625
2023-11-21;4746.5;1696.5;1834.416667;1425.541667;127.958333;2070.0;2982.75;779.125;1929.375;997.833333
2023-11-22;4862.291667;1644.0;1631.5;1326.25;132.541667;2095.416667;2914.291667;686.25;1886.458333;871.125
2023-11-25;3917.833333;1071.583333;776.5;1001.958333;92.291667;1612.125;1992.75;460.0;1633.708333;467.041667
2023-11-27;5427.583333;1629.333333;1703.833333;1530.541667;124.791667;2242.541667;3073.791667;862.583333;1980.666667;999.458333
2023-11-28;5479.666667;1598.125;1594.5;1540.041667;133.791667;2211.041667;2950.375;766.708333;1954.833333;973.708333
2023-12-01;5109.708333;1920.416667;1602.041667;1542.833333;127.666667;2270.208333;3060.708333;715.958333;1852.708333;922.75
2023-12-03;4298.583333;1164.666667;828.666667;1067.958333;97.208333;1696.291667;2024.625;495.5;1681.5;487.75
2023-12-05;5605.041667;2090.125;1589.708333;1594.041667;123.041667;2248.0;3373.208333;802.041667;1884.916667;1036.458333
2023-12-08;5206.166667;1951.041667;1406.958333;1487.5;129.041667;2219.625;3132.75;747.458333;1869.916667;939.333333
2023-12-09;4411.208333;1596.583333;733.291667;982.458333;96.125;1517.75;1940.083333;450.291667;1636.583333;479.416667
2023-12-14;5366.791667;1927.75;1572.916667;1385.333333;181.125;2184.0;3229.25;769.958333;1941.333333;944.541667
2023-12-15;5341.208333;1912.958333;1507.25;1377.541667;154.458333;2105.458333;3129.583333;743.666667;1855.625;901.125
2023-12-17;4642.291667;1061.416667;744.833333;1063.541667;99.166667;1646.125;1944.791667;498.291667;1601.291667;480.833333
2023-12-19;5958.916667;2060.416667;1534.958333;1493.833333;157.291667;2198.583333;3235.333333;867.041667;2036.583333;1041.416667
2023-12-22;4792.125;1550.041667;1167.041667;1134.375;125.375;1831.875;2488.458333;700.0;1777.541667;821.333333
2023-12-25;3629.833333;1034.791667;673.416667;735.833333;74.208333;1472.041667;1761.041667;446.291667;1554.875;440.833333
2023-12-26;3788.625;1036.291667;670.5;741.666667;73.875;1505.333333;1777.916667;474.958333;1580.583333;402.875
2023-12-28;3906.666667;1078.375;631.875;569.916667;73.291667;1527.333333;1721.791667;468.958333;1638.75;449.416667
2023-12-29;3814.041667;1109.666667;653.25;710.125;73.875;1509.541667;1789.541667;464.166667;1631.416667;555.125
2023-12-30;3636.916667;1068.541667;662.166667;718.833333;71.541667;1429.75;1696.958333;437.0;1626.0;392.5
2024-01-05;4299.0;1706.333333;954.791667;733.916667;94.583333;1788.958333;2293.75;575.875;1724.416667;422.083333
2024-01-08;5831.25;2184.833333;1373.208333;1523.916667;158.416667;2276.791667;3417.666667;837.958333;1966.916667;1014.375
2024-01-10;6178.125;2133.916667;1641.625;1598.75;143.958333;2158.041667;3344.666667;867.125;1968.875;863.0
2024-01-11;6425.125;2152.75;1497.625;1611.375;116.666667;2168.25;3383.291667;853.75;1996.041667;1004.75
2024-01-23;6732.791667;1927.0;1729.416667;1350.083333;139.375;1859.375;3420.041667;745.291667;1906.541667;961.333333
2024-01-24;5925.25;1910.958333;1477.625;1172.208333;146.541667;1741.041667;3254.291667;668.166667;1837.583333;858.5
2024-01-29;5121.083333;1491.291667;1494.083333;1312.208333;140.5;1900.875;3281.041667;672.958333;1870.958333;822.208333
2024-02-03;4643.0;1692.666667;1146.625;1411.666667;128.833333;1344.333333;2170.875;445.541667;1637.25;756.791667
2024-02-07;5016.541667;1913.083333;1581.125;1470.375;144.0;1785.375;3198.291667;716.625;1866.625;812.375
2024-02-09;4829.708333;1902.75;1399.25;1327.25;142.125;1751.541667;3118.791667;692.166667;1790.875;756.791667
2024-02-14;5050.333333;1950.666667;1271.333333;1275.166667;142.25;1689.375;3110.375;602.916667;1913.375;730.5
2024-02-15;4698.0;1872.833333;1238.166667;1130.875;160.875;1596.75;2818.541667;565.0;1792.458333;
2023-02-18;6109.520833;1358.1875;952.541667;915.520833;108.458333;1587.458333;1639.833333;513.25;1728.083333;528.4375
2023-02-21;6893.833333;1674.104167;1550.875;1259.479167;88.875;2319.4375;2426.833333;714.5;2048.1875;807.1875
2023-02-27;7281.791667;1819.0625;1289.8125;1288.1875;107.166667;2338.5625;2701.916667;621.791667;1955.291667;634.6875
2023-03-01;7324.145833;1760.916667;1228.375;1135.8125;96.375;2283.916667;2463.291667;648.104167;2010.958333;622.645833
2023-03-09;7386.666667;1833.875;1561.833333;1248.25;123.416667;2090.416667;2814.791667;654.375;2156.958333;918.583333
2023-03-13;7226.333333;1527.666667;1763.75;1389.75;113.75;2037.666667;2868.75;713.416667;2103.916667;919.5
2023-03-14;7114.833333;1800.583333;1604.0;1249.5;124.583333;2089.5;2853.083333;737.0;2195.0;836.083333
2023-03-18;5505.75;1433.25;949.166667;822.75;124.916667;1592.833333;1500.25;493.083333;1791.25;479.0
2023-03-19;5512.5;968.083333;943.333333;860.333333;113.0;1544.0;1582.416667;489.5;1827.333333;466.5
2023-03-25;5475.041667;1438.916667;898.333333;854.833333;120.5;1522.125;1438.958333;503.916667;1833.75;499.083333
2023-03-27;6806.625;1817.583333;1565.333333;1379.291667;108.333333;2116.625;2773.375;719.125;2112.041667;896.0
2023-03-29;5578.795848;972.041522;995.875433;780.041522;107.875433;1368.16609;1440.249135;467.958478;1824.0;515.875433
2023-04-05;6862.083333;1789.875;1422.583333;1219.583333;101.791667;2071.583333;2780.416667;642.083333;2121.708333;780.125
2023-04-11;6476.583333;1752.083333;1454.208333;1182.0;79.583333;2178.708333;2655.708333;654.041667;2060.583333;871.458333
2023-04-25;5786.875;1747.25;1228.916667;1225.416667;97.875;2159.75;2580.875;630.083333;1960.916667;678.875
2023-05-04;4942.208333;1209.75;999.666667;579.5;79.708333;1868.0;1903.041667;441.375;1760.958333;512.958333
2023-05-08;4457.791667;403.625;780.75;588.458333;82.75;1730.0;1438.833333;369.791667;1613.375;460.166667
2023-05-17;5155.166667;1409.916667;1251.875;954.375;79.166667;1934.875;2387.583333;532.708333;1852.666667;768.0
2023-05-25;4908.75;1605.041667;1213.75;1020.916667;71.25;1928.291667;2228.958333;577.0;1838.708333;756.333333
2023-06-02;4649.583333;1637.083333;1174.291667;1013.625;69.583333;2004.5;2148.083333;498.958333;1739.583333;654.625
2023-06-04;3993.666667;1025.625;847.041667;680.291667;70.0;1399.833333;1283.958333;365.166667;1604.458333;405.958333
2023-06-06;4928.083333;1713.541667;1214.208333;1044.333333;69.083333;1903.416667;2111.375;507.833333;1783.75;668.5
2023-06-08;5040.5;1836.5;1262.75;971.416667;69.416667;1935.958333;2332.041667;516.791667;1837.708333;741.625
2023-06-09;4964.333333;1973.291667;1155.916667;960.333333;70.25;2057.916667;2292.708333;489.833333;1758.625;725.0
2023-06-11;4049.458333;1002.958333;871.583333;661.833333;69.375;1521.041667;1372.333333;312.083333;1605.458333;496.291667
2023-06-22;4976.791667;2373.833333;1338.625;1091.75;67.916667;2013.208333;2541.541667;466.833333;1819.5;745.041667
2023-06-23;4867.625;2483.041667;1222.541667;852.25;70.875;2025.416667;2533.458333;399.583333;1738.916667;709.041667
2023-06-25;4226.875;626.291667;895.583333;592.958333;76.666667;1395.333333;1364.625;316.083333;1513.625;462.083333
2023-06-29;4828.541667;1950.708333;1236.875;820.791667;70.166667;1935.416667;2483.0;384.416667;1877.416667;687.583333
2023-07-04;4362.958333;1718.0;1083.583333;710.416667;67.875;1805.333333;2028.0;366.5;1793.541667;545.291667
2023-07-06;4589.625;1422.916667;984.166667;737.208333;67.833333;1991.375;2110.0;371.125;1796.916667;525.458333
2023-07-08;4117.541667;889.208333;874.375;576.583333;71.958333;1195.041667;1244.708333;348.416667;1675.166667;396.625
2023-07-10;4720.25;1419.041667;1088.625;758.041667;72.625;1603.583333;1846.583333;413.666667;1819.708333;531.625
2023-07-18;4561.291667;2101.75;1053.291667;715.25;73.375;1780.916667;1815.0;340.791667;1833.75;464.583333
2023-07-20;3858.166667;2058.791667;680.375;729.5;71.166667;1679.416667;1318.333333;367.708333;1680.958333;466.166667
2023-07-25;3723.916667;1220.125;621.708333;559.625;68.375;1631.875;1261.875;305.875;1617.583333;363.166667
2023-08-03;3522.916667;924.291667;568.333333;455.583333;72.5;1676.458333;1195.291667;290.375;1542.375;350.5
2023-08-04;3477.0;921.25;576.041667;449.166667;70.208333;1655.291667;1182.0;290.166667;1524.875;344.916667
2023-08-07;3505.75;921.833333;541.166667;458.375;70.125;1658.25;1229.041667;333.708333;1492.208333;343.875
2023-08-09;3556.333333;402.083333;521.875;508.875;69.125;1659.75;1308.791667;341.541667;1477.5;352.0
2023-08-12;2683.208333;371.333333;458.875;459.208333;73.291667;1384.416667;1363.916667;377.791667;1464.208333;320.125
2023-08-14;2803.166667;378.291667;480.375;439.708333;69.583333;1679.25;1445.25;344.375;1485.083333;350.791667
2023-08-20;2792.458333;868.666667;532.333333;427.833333;70.875;1419.25;1294.166667;324.333333;1523.375;333.875
2023-08-21;2980.375;1215.125;734.041667;528.958333;72.291667;1791.541667;1530.25;312.375;1674.166667;391.75
2023-08-23;3039.833333;2193.708333;766.125;537.083333;75.666667;1892.0;1560.083333;321.666667;1642.541667;456.416667
2023-08-25;2995.791667;1865.125;738.791667;499.041667;92.916667;1826.75;1564.416667;334.833333;1636.708333;464.875
2023-08-27;2681.333333;1129.166667;574.25;426.166667;71.666667;1408.916667;1249.916667;327.291667;1470.208333;379.75
2023-08-28;2956.541667;1635.041667;807.708333;520.291667;68.291667;1803.208333;1615.166667;356.833333;1649.25;481.541667
2023-09-01;3123.25;1310.291667;903.375;706.708333;75.208333;1710.083333;2079.333333;358.833333;1688.0;534.833333
2023-09-02;2883.958333;830.416667;634.75;473.416667;72.75;1361.375;1381.708333;316.416667;1564.958333;382.291667
2023-09-06;3399.041667;2060.541667;964.958333;835.416667;77.125;2012.75;2430.083333;423.166667;1832.0;704.166667
2023-09-08;3462.0;2112.416667;959.0;923.041667;85.041667;2034.958333;2335.416667;412.75;1807.458333;715.916667
2023-09-09;3061.625;1573.416667;682.625;618.75;85.083333;1375.666667;1415.375;303.041667;1594.666667;484.666667
2023-09-11;3386.625;1966.5;1067.291667;997.25;82.5;1973.916667;2648.25;470.458333;1854.583333;741.208333
2023-09-13;3248.416667;1772.125;1195.958333;1083.083333;81.75;1921.208333;2659.041667;503.166667;1784.958333;763.916667
2023-09-15;3247.458333;1891.375;1077.958333;948.5;78.125;1888.458333;2480.333333;487.166667;1757.5;719.666667
2023-09-19;3304.833333;1777.166667;1111.166667;1035.166667;77.916667;1879.666667;2748.833333;538.0;1845.666667;754.666667
2023-09-23;2974.916667;1447.541667;681.083333;682.0;80.291667;1224.25;1454.666667;386.666667;1597.333333;485.583333
2023-09-26;3218.791667;1883.916667;1153.375;1073.375;75.625;1833.541667;2688.875;524.416667;1848.916667;877.0
2023-09-29;3182.291667;1853.916667;1162.958333;1078.833333;75.958333;1789.041667;2767.458333;520.5;1820.708333;781.958333
2023-10-01;2877.583333;1081.375;653.291667;591.916667;79.041667;1212.416667;1434.541667;332.208333;1558.583333;455.375
2023-10-07;2902.291667;1603.458333;657.333333;664.541667;75.25;1230.625;1334.75;401.416667;1596.083333;424.791667
2023-10-13;3454.208333;1912.125;1334.0;1070.083333;78.625;1794.75;2599.125;502.458333;1795.083333;751.833333
2023-10-19;3901.375;1895.0;1373.0;1154.375;87.25;2022.125;2719.833333;663.791667;1848.0;870.583333
2023-10-24;4066.333333;1896.583333;1554.375;1135.25;108.583333;2122.666667;2909.458333;717.875;1827.708333;854.833333
2023-10-29;3560.541667;1141.291667;845.708333;792.708333;135.333333;1311.583333;1654.0;457.375;1554.166667;566.5
2023-10-30;3951.833333;1920.625;1127.125;914.208333;170.75;1952.666667;2376.0;587.666667;1661.458333;739.291667
2023-10-31;4007.166667;1881.75;1076.625;918.708333;172.625;1931.333333;2390.083333;580.708333;1657.208333;711.041667
2023-11-02;4053.5;1866.166667;1053.708333;866.958333;143.625;1893.166667;2346.208333;522.541667;1659.541667;674.0
2023-11-05;3655.333333;1132.666667;907.833333;828.291667;113.25;1287.541667;1636.375;453.25;1537.416667;492.166667
2023-11-11;3855.833333;1073.333333;792.541667;917.416667;85.125;1489.958333;1706.125;451.208333;1557.25;451.666667
2023-11-12;3773.833333;1005.75;796.291667;918.291667;86.75;1370.458333;1656.625;450.666667;1562.0;467.0
2023-11-15;4626.416667;1728.666667;1767.958333;1360.75;121.791667;1991.541667;2976.291667;671.916667;1855.333333;911.625
2023-11-18;3845.5;1391.416667;831.75;896.166667;91.958333;1441.875;1660.208333;428.958333;1634.041667;481.208333
2023-11-20;4644.5;1739.666667;1675.041667;1354.208333;129.875;2014.25;2912.208333;740.833333;1862.041667;916.5
2023-11-23;4738.708333;1448.75;1607.333333;1356.291667;96.666667;2128.083333;2881.083333;785.458333;1936.75;922.041667
2023-11-24;4647.375;1334.041667;1539.291667;1306.583333;124.416667;2090.791667;2870.875;713.541667;1885.208333;928.375
2023-11-29;5105.166667;1607.458333;1505.333333;1544.125;136.375;2255.208333;3026.541667;668.25;1920.625;933.041667
2023-12-04;5331.291667;2189.958333;1537.708333;1598.208333;141.166667;2250.291667;3365.458333;838.791667;1935.458333;973.541667
2023-12-07;5526.541667;2133.958333;1479.416667;1601.75;127.583333;2387.875;3251.125;771.208333;1977.458333;918.458333
2023-12-10;4297.25;871.166667;738.041667;963.333333;95.5;1404.208333;1919.125;465.5;1585.666667;479.291667
2023-12-11;5091.708333;1988.583333;1431.0;1398.833333;99.791667;1995.708333;3224.333333;744.083333;1871.75;921.958333
2023-12-13;5230.833333;1957.333333;1511.166667;1441.583333;184.083333;2065.083333;3061.958333;722.875;1914.458333;918.958333
2023-12-20;5749.666667;1914.083333;1431.083333;1356.375;174.5;2094.916667;3158.833333;723.708333;1919.875;1013.583333
2023-12-21;5409.958333;1922.125;1404.916667;1376.208333;176.5;1956.416667;3104.291667;811.0;1949.0;966.333333
2023-12-24;3601.791667;847.333333;667.541667;732.0;78.25;1336.916667;1678.125;461.583333;1631.583333;407.041667
2023-12-27;3906.583333;1018.791667;644.375;779.166667;73.583333;1531.458333;1741.166667;489.0;1629.958333;533.125
2023-12-31;3546.5;905.416667;661.541667;718.125;77.083333;1434.791667;1678.416667;457.0;1618.625;392.583333
2024-01-01;3654.833333;1107.583333;654.041667;755.166667;72.375;1556.083333;1769.041667;442.458333;1561.541667;424.25
2024-01-03;4231.25;1091.5;782.708333;766.541667;185.541667;1526.833333;2034.625;484.333333;1663.0;499.833333
2024-01-04;4374.041667;1752.708333;919.25;742.875;165.541667;1724.583333;2296.333333;550.291667;1780.916667;469.25
2024-01-07;4209.0;883.75;751.958333;879.083333;94.416667;1506.875;1947.291667;585.5;1667.0;399.458333
2024-01-09;6048.916667;2152.458333;1599.125;1662.375;180.0;2213.291667;3437.083333;868.875;1936.791667;957.708333
2024-01-12;6149.708333;2095.625;1637.083333;1754.916667;112.458333;2080.291667;3288.291667;811.416667;1929.25;858.083333
2024-01-13;5456.5;1672.833333;834.5;1219.291667;94.958333;1582.041667;2268.0;479.625;1692.458333;479.083333
2024-01-14;5389.5;1090.125;814.708333;1176.666667;96.5;1586.791667;2290.333333;483.166667;1653.708333;492.583333
2024-01-18;6818.083333;2104.666667;1495.416667;1709.916667;109.416667;2099.458333;3341.625;716.5;1903.5;912.583333
2024-01-20;5624.875;1720.458333;819.125;1138.041667;103.875;1581.541667;2320.583333;500.541667;1674.833333;455.5
2024-01-21;5421.291667;1061.25;842.208333;1088.208333;94.75;1444.083333;2329.583333;496.625;1630.916667;460.75
2024-01-22;6501.541667;1989.333333;1569.833333;1358.958333;122.791667;1822.958333;3384.333333;742.333333;1902.666667;990.916667
2024-01-25;5385.208333;1446.375;1617.458333;1179.958333;138.125;1783.458333;3089.041667;760.875;1863.5;962.083333
2024-02-01;5281.75;1853.583333;1519.666667;1370.625;144.916667;1757.416667;3130.583333;707.375;1915.583333;933.0
2024-02-02;5278.041667;1956.958333;1537.916667;1336.75;143.166667;1883.75;3187.916667;756.875;1835.666667;917.416667
2024-02-08;4959.0;1879.458333;1588.416667;1442.625;144.083333;1750.083333;3198.458333;715.208333;1967.25;818.083333
2024-02-11;4346.5;917.833333;858.958333;978.166667;135.5;1255.25;1876.708333;439.083333;1563.458333;487.625
2024-02-13;5223.541667;1944.375;1534.208333;1384.333333;139.291667;1880.166667;3120.708333;634.0;1928.541667;780.208333
